"filename", "language", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "JSON with Comments", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/index.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/locales/pl.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/mockedData.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 10, 158
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/models.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/router.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/styled.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/theme.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/utils/slugName.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/GuiderDetails/GuiderDetails.styles.tsx", "TypeScript JSX", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 17, 187
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/GuiderDetails/GuiderDetails.tsx", "TypeScript JSX", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 6, 126
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Guiders/Guiders.styles.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 4, 71
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Guiders/Guiders.tsx", "TypeScript JSX", 0, 0, 92, 0, 0, 0, 0, 0, 0, 2, 8, 102
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Home/Home.styles.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 13, 109
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Home/Home.tsx", "TypeScript JSX", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 10, 194
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/NotFound/NotFound.styles.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/NotFound/NotFound.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Place/Place.styles.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 5, 62
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Place/Place.tsx", "TypeScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 9, 83
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Register/Register.styles.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/views/Register/Register.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/cyntler/Development/__city-explore/city-explore-frontend/src/vite-env.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/cyntler/Development/__city-explore/city-explore-frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 3, 25
"/Users/cyntler/Development/__city-explore/city-explore-frontend/tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/cyntler/Development/__city-explore/city-explore-frontend/vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 93, 222, 1467, 22, 16439, 20, 2, 14, 19, 24, 193, 18515
